No,Sheet,VN Word,VN Example,JP Word,JP Example,EN Word,EN Example,Tag
11,Daily Phrases,Viết ra giúp tôi,Viết ra giúp tôi được không?,<ruby>書<rt>か</rt></ruby>いてもらえますか,<ruby>書<rt>か</rt></ruby>いてもらえますか。,Can you write it down?,Can you write it down?,Survival
12,Daily Phrases,Nói lại lần nữa,Nói lại lần nữa được không?,もう<ruby>一度<rt>いちど</rt></ruby><ruby>言<rt>い</rt></ruby>ってください,もう<ruby>一度<rt>いちど</rt></ruby><ruby>言<rt>い</rt></ruby>ってください。,Say it again please,Please say that again.,Survival
13,Daily Phrases,Cái này nghĩa là gì,Cái này nghĩa là gì?,これはどういう<ruby>意味<rt>いみ</rt></ruby>ですか,これはどういう<ruby>意味<rt>いみ</rt></ruby>ですか。,What does this mean?,What does this mean?,Survival
14,Daily Phrases,Tôi bị dị ứng,Tôi bị dị ứng đậu phộng.,ピーナッツアレルギーです,ピーナッツアレルギーです。,I'm allergic to peanuts,I'm allergic to peanuts.,Survival
15,Daily Phrases,Taxi ở đâu,Bắt taxi ở đâu?,タクシーはどこで<ruby>乗<rt>の</rt></ruby>れますか,タクシーはどこで<ruby>乗<rt>の</rt></ruby>れますか。,Where to get a taxi?,Where can I get a taxi?,Survival
16,Daily Phrases,Có nói tiếng Anh không,Anh có nói tiếng Anh không?,<ruby>英語<rt>えいご</rt></ruby>は<ruby>話<rt>はな</rt></ruby>せますか,<ruby>英語<rt>えいご</rt></ruby>は<ruby>話<rt>はな</rt></ruby>せますか。,Do you speak English?,Do you speak English?,Survival
17,Daily Phrases,Đại sứ quán ở đâu,Đại sứ quán Hàn Quốc ở đâu?,<ruby>韓国<rt>かんこく</rt></ruby><ruby>大使館<rt>たいしかん</rt></ruby>はどこですか,<ruby>韓国<rt>かんこく</rt></ruby><ruby>大使館<rt>たいしかん</rt></ruby>はどこですか。,Where's the Korean embassy?,Where's the Korean embassy?,Survival
18,Daily Phrases,Tôi bị mất hộ chiếu,Tôi bị mất hộ chiếu.,パスポートを<ruby>紛失<rt>ふんしつ</rt></ruby>しました,パスポートを<ruby>紛失<rt>ふんしつ</rt></ruby>しました。,I lost my passport,I lost my passport.,Survival
19,Daily Phrases,Nguy hiểm,Nguy hiểm! Tránh ra!,<ruby>危<rt>あぶ</rt></ruby>ない,<ruby>危<rt>あぶ</rt></ruby>ない！<ruby>離<rt>はな</rt></ruby>れて！,Dangerous!,Danger! Stay away!,Survival
20,Daily Phrases,Cứu tôi,Cứu tôi với!,<ruby>助<rt>たす</rt></ruby>けて,<ruby>助<rt>たす</rt></ruby>けて！,Help me!,Help!,Survival
21,Daily Phrases,Bàn cho hai người,Bàn cho hai người.,2<ruby>人<rt>にん</rt></ruby>のテーブルをお<ruby>願<rt>ねが</rt></ruby>い,2<ruby>人<rt>にん</rt></ruby>のテーブルをお<ruby>願<rt>ねが</rt></ruby>いします。,Table for two,Table for two please.,RestaurantPhrase
22,Daily Phrases,Cho xem menu,Cho xem menu được không?,メニューを<ruby>見<rt>み</rt></ruby>せてください,メニューを<ruby>見<rt>み</rt></ruby>せてください。,Can I see the menu?,May I see the menu?,RestaurantPhrase
23,Daily Phrases,Giới thiệu món gì,Anh giới thiệu món gì?,おすすめは<ruby>何<rt>なん</rt></ruby>ですか,おすすめは<ruby>何<rt>なん</rt></ruby>ですか。,What do you recommend?,What do you recommend?,RestaurantPhrase
24,Daily Phrases,Cho tôi món này,Cho tôi món này.,これをお<ruby>願<rt>ねが</rt></ruby>いします,これをお<ruby>願<rt>ねが</rt></ruby>いします。,I'll have this,I'll have this one.,RestaurantPhrase
25,Daily Phrases,Không cay,Không cay nhé.,<ruby>辛<rt>から</rt></ruby>くしないで,<ruby>辛<rt>から</rt></ruby>くしないでください。,No spicy please,Not spicy please.,RestaurantPhrase
26,Daily Phrases,Bớt ngọt,Bớt ngọt một chút.,<ruby>甘<rt>あま</rt></ruby>さ<ruby>控<rt>ひか</rt></ruby>えめで,<ruby>甘<rt>あま</rt></ruby>さ<ruby>控<rt>ひか</rt></ruby>えめでお<ruby>願<rt>ねが</rt></ruby>い。,Less sweet please,A little less sweet.,RestaurantPhrase
27,Daily Phrases,Tính tiền,Tính tiền giúp tôi.,お<ruby>会計<rt>かいけい</rt></ruby>お<ruby>願<rt>ねが</rt></ruby>いします,お<ruby>会計<rt>かいけい</rt></ruby>お<ruby>願<rt>ねが</rt></ruby>いします。,Check please,Bill please.,RestaurantPhrase
28,Daily Phrases,Nhận thẻ không,Nhận thẻ tín dụng không?,クレジットカードは<ruby>使<rt>つか</rt></ruby>えますか,クレジットカードは<ruby>使<rt>つか</rt></ruby>えますか。,Do you take cards?,Do you accept credit cards?,RestaurantPhrase
29,Daily Phrases,Phí dịch vụ,Có phí dịch vụ không?,サービス<ruby>料<rt>りょう</rt></ruby>は<ruby>込<rt>こ</rt></ruby>みですか,サービス<ruby>料<rt>りょう</rt></ruby>は<ruby>込<rt>こ</rt></ruby>みですか。,Service charge included?,Is service charge included?,RestaurantPhrase
30,Daily Phrases,Thêm nước,Thêm nước giúp tôi.,お<ruby>水<rt>みず</rt></ruby>をもう<ruby>一杯<rt>いっぱい</rt></ruby>,お<ruby>水<rt>みず</rt></ruby>をもう<ruby>一杯<rt>いっぱい</rt></ruby>ください。,More water please,More water please.,RestaurantPhrase
31,Daily Phrases,Ngon quá,Ngon quá!,<ruby>美味<rt>おい</rt></ruby>しい！,<ruby>美味<rt>おい</rt></ruby>しい！,Delicious!,This is delicious!,RestaurantPhrase
32,Daily Phrases,Tôi ăn chay,Tôi ăn chay.,ベジタリアンです,ベジタリアンです。,I'm vegetarian,I'm vegetarian.,RestaurantPhrase
33,Daily Phrases,Không bỏ bột ngọt,Không bỏ bột ngọt.,MSG<ruby>抜<rt>ぬ</rt></ruby>きで,MSG<ruby>抜<rt>ぬ</rt></ruby>きでお<ruby>願<rt>ねが</rt></ruby>い。,No MSG please,No MSG please.,RestaurantPhrase
34,Daily Phrases,Mang về,Mang về được không?,テイクアウトできますか,テイクアウトできますか。,Can I take away?,Can I take it to go?,RestaurantPhrase
35,Daily Phrases,Thêm đá,Thêm đá vào.,<ruby>氷<rt>こおり</rt></ruby>を<ruby>追加<rt>ついか</rt></ruby>で,<ruby>氷<rt>こおり</rt></ruby>を<ruby>追加<rt>ついか</rt></ruby>で。,More ice please,Add more ice.,RestaurantPhrase
36,Daily Phrases,Tôi chỉ xem thôi,Tôi chỉ xem thôi.,<ruby>見<rt>み</rt></ruby>ているだけです,<ruby>見<rt>み</rt></ruby>ているだけです。,Just looking,"Just looking, thanks.",ShoppingPhrase
37,Daily Phrases,Có size lớn hơn không,Có size lớn hơn không?,もっと<ruby>大<rt>おお</rt></ruby>きいサイズはありますか,もっと<ruby>大<rt>おお</rt></ruby>きいサイズは。,Bigger size?,Do you have a bigger size?,ShoppingPhrase
38,Daily Phrases,Thử được không,Thử được không?,<ruby>試着<rt>しちゃく</rt></ruby>できますか,<ruby>試着<rt>しちゃく</rt></ruby>できますか。,Can I try this on?,Can I try this on?,ShoppingPhrase
39,Daily Phrases,Đắt quá,Đắt quá!,<ruby>高<rt>たか</rt></ruby>すぎます,<ruby>高<rt>たか</rt></ruby>すぎます！,Too expensive,Too expensive!,ShoppingPhrase
40,Daily Phrases,Giảm giá được không,Giảm giá được không?,<ruby>値引<rt>ねび</rt></ruby>きできますか,<ruby>値引<rt>ねび</rt></ruby>きできますか。,Can you give a discount?,Can you give a discount?,ShoppingPhrase
41,Daily Phrases,Tôi lấy cái này,Tôi lấy cái này.,これにします,これにします。,I'll take it,I'll take this one.,ShoppingPhrase
42,Daily Phrases,Màu khác,Có màu khác không?,<ruby>他<rt>ほか</rt></ruby>の<ruby>色<rt>いろ</rt></ruby>はありますか,<ruby>他<rt>ほか</rt></ruby>の<ruby>色<rt>いろ</rt></ruby>は。,Other color?,Any other colors?,ShoppingPhrase
43,Daily Phrases,Phòng thử đồ,Phòng thử đồ ở đâu?,<ruby>試着室<rt>しちゃくしつ</rt></ruby>はどこですか,<ruby>試着室<rt>しちゃくしつ</rt></ruby>はどこ。,Where's fitting room?,Where's the fitting room?,ShoppingPhrase
44,Daily Phrases,Gói quà,Gói quà giúp tôi.,ラッピングお<ruby>願<rt>ねが</rt></ruby>いします,ラッピングお<ruby>願<rt>ねが</rt></ruby>いします。,Gift wrap please,Please gift wrap this.,ShoppingPhrase
45,Daily Phrases,Tổng cộng bao nhiêu,Tổng cộng bao nhiêu?,<ruby>合計<rt>ごうけい</rt></ruby>はいくらですか,<ruby>合計<rt>ごうけい</rt></ruby>はいくら。,How much total?,How much in total?,ShoppingPhrase
46,Daily Phrases,Trả bằng tiền mặt,Trả bằng tiền mặt.,<ruby>現金<rt>げんきん</rt></ruby>で<ruby>払<rt>はら</rt></ruby>います,<ruby>現金<rt>げんきん</rt></ruby>で。,Pay in cash,I'll pay in cash.,ShoppingPhrase
47,Daily Phrases,Có hóa đơn không,Cho tôi hóa đơn.,<ruby>領収書<rt>りょうしゅうしょ</rt></ruby>をお<ruby>願<rt>ねが</rt></ruby>いします,<ruby>領収書<rt>りょうしゅうしょ</rt></ruby>を。,Receipt please,Can I have a receipt?,ShoppingPhrase
48,Daily Phrases,Đưa tôi đến địa chỉ này,Đưa tôi đến địa chỉ này.,この<ruby>住所<rt>じゅうしょ</rt></ruby>までお<ruby>願<rt>ねが</rt></ruby>いします,この<ruby>住所<rt>じゅうしょ</rt></ruby>まで。,Take me to this address,Go to this address please.,TransportPhrase
49,Daily Phrases,Cách đây bao xa,Cách đây bao xa?,ここからどのくらいですか,ここからどのくらい。,How far is it?,How far from here?,TransportPhrase
50,Daily Phrases,Rẽ trái ở đây,Rẽ trái ở đây.,ここを<ruby>左<rt>ひだり</rt></ruby>に,ここを<ruby>左<rt>ひだり</rt></ruby>に<ruby>曲<rt>ま</rt></ruby>がって。,Turn left here,Turn left here.,TransportPhrase
51,Daily Phrases,Rẽ phải ở đây,Rẽ phải ở đây.,ここを<ruby>右<rt>みぎ</rt></ruby>に,ここを<ruby>右<rt>みぎ</rt></ruby>に<ruby>曲<rt>ま</rt></ruby>がって。,Turn right here,Turn right here.,TransportPhrase
52,Daily Phrases,Dừng ở đây,Dừng ở đây.,ここで<ruby>止<rt>と</rt></ruby>めてください,ここで<ruby>止<rt>と</rt></ruby>めて。,Stop here,Stop here please.,TransportPhrase
53,Daily Phrases,Mất bao lâu,Đi mất bao lâu?,どのくらいかかりますか,どのくらいかかる。,How long does it take?,How long will it take?,TransportPhrase
54,Daily Phrases,Xe buýt đúng không,Đây có phải xe buýt đúng không?,このバスで<ruby>合<rt>あ</rt></ruby>っていますか,このバスで<ruby>合<rt>あ</rt></ruby>ってる？,Is this the right bus?,Is this the right bus?,TransportPhrase
55,Daily Phrases,Xuống ở đâu,Tôi xuống ở đâu?,どこで<ruby>降<rt>お</rt></ruby>りますか,どこで<ruby>降<rt>お</rt></ruby>りる？,Where do I get off?,Where should I get off?,TransportPhrase
56,Daily Phrases,Một vé đi Hà Nội,Một vé đi Hà Nội.,ハノイまで1<ruby>枚<rt>まい</rt></ruby>,ハノイまでチケット1<ruby>枚<rt>まい</rt></ruby>。,One ticket to Hanoi,One ticket to Hanoi.,TransportPhrase
57,Daily Phrases,Chuyến tiếp theo,Chuyến tiếp theo mấy giờ?,<ruby>次<rt>つぎ</rt></ruby>の<ruby>便<rt>びん</rt></ruby>は<ruby>何時<rt>なんじ</rt></ruby>ですか,<ruby>次<rt>つぎ</rt></ruby>の<ruby>便<rt>びん</rt></ruby>は<ruby>何時<rt>なんじ</rt></ruby>。,When's the next one?,When's the next departure?,TransportPhrase
58,Daily Phrases,Ghế này có ai ngồi không,Ghế này có ai ngồi không?,この<ruby>席<rt>せき</rt></ruby>は<ruby>空<rt>あ</rt></ruby>いていますか,この<ruby>席<rt>せき</rt></ruby><ruby>空<rt>あ</rt></ruby>いてる？,Is this seat taken?,Is this seat free?,TransportPhrase
59,Daily Phrases,Đi thẳng,Đi thẳng.,まっすぐ<ruby>行<rt>い</rt></ruby>ってください,まっすぐ<ruby>行<rt>い</rt></ruby>って。,Go straight,Go straight ahead.,TransportPhrase
60,Daily Phrases,Nhanh hơn được không,Nhanh hơn được không?,もう<ruby>少<rt>すこ</rt></ruby>し<ruby>早<rt>はや</rt></ruby>く,もう<ruby>少<rt>すこ</rt></ruby>し<ruby>早<rt>はや</rt></ruby>くお<ruby>願<rt>ねが</rt></ruby>い。,Can you go faster?,Can you go faster?,TransportPhrase
61,Daily Phrases,Sinh nhật vui vẻ,Sinh nhật vui vẻ!,<ruby>誕生日<rt>たんじょうび</rt></ruby>おめでとう,<ruby>誕生日<rt>たんじょうび</rt></ruby>おめでとう！,Happy birthday!,Happy birthday!,SocialPhrase
62,Daily Phrases,Chúc mừng,Chúc mừng!,おめでとう,おめでとう！,Congratulations!,Congratulations!,SocialPhrase
63,Daily Phrases,Chóng khỏe nhé,Chóng khỏe nhé!,お<ruby>大事<rt>だいじ</rt></ruby>に,お<ruby>大事<rt>だいじ</rt></ruby>に！,Get well soon,Get well soon!,SocialPhrase
64,Daily Phrases,Rất tiếc nghe vậy,Rất tiếc nghe vậy.,お<ruby>気<rt>き</rt></ruby>の<ruby>毒<rt>どく</rt></ruby>に,お<ruby>気<rt>き</rt></ruby>の<ruby>毒<rt>どく</rt></ruby>に。,Sorry to hear that,I'm sorry to hear that.,SocialPhrase
65,Daily Phrases,Chúc may mắn,Chúc may mắn!,<ruby>頑張<rt>がんば</rt></ruby>って,<ruby>頑張<rt>がんば</rt></ruby>って！,Good luck!,Good luck!,SocialPhrase
66,Daily Phrases,Đi cẩn thận,Đi cẩn thận nhé!,<ruby>気<rt>き</rt></ruby>をつけて,<ruby>気<rt>き</rt></ruby>をつけて！,Have a safe trip!,Take care on the road!,SocialPhrase
67,Daily Phrases,Ăn ngon miệng,Ăn ngon miệng nhé!,<ruby>召<rt>め</rt></ruby>し<ruby>上<rt>あ</rt></ruby>がれ,<ruby>召<rt>め</rt></ruby>し<ruby>上<rt>あ</rt></ruby>がれ！,Enjoy your meal!,Bon appétit!,SocialPhrase
68,Daily Phrases,Bảo trọng,Bảo trọng nhé!,お<ruby>元気<rt>げんき</rt></ruby>で,お<ruby>元気<rt>げんき</rt></ruby>で！,Take care!,Take care!,SocialPhrase
69,Daily Phrases,Hẹn gặp lại sớm,Hẹn gặp lại sớm!,またすぐ<ruby>会<rt>あ</rt></ruby>いましょう,またすぐ<ruby>会<rt>あ</rt></ruby>いましょう！,See you soon!,See you soon!,SocialPhrase
70,Daily Phrases,Rất vui được gặp anh,Rất vui được gặp anh.,お<ruby>会<rt>あ</rt></ruby>いできて<ruby>嬉<rt>うれ</rt></ruby>しい,お<ruby>会<rt>あ</rt></ruby>いできて<ruby>嬉<rt>うれ</rt></ruby>しかったです。,Nice meeting you,Nice meeting you.,SocialPhrase
71,Daily Phrases,Tuyệt vời,Tuyệt vời!,<ruby>素晴<rt>すば</rt></ruby>らしい,<ruby>素晴<rt>すば</rt></ruby>らしい！,Wonderful!,Wonderful!,SocialPhrase
72,Daily Phrases,Thật sao,Thật sao?,<ruby>本当<rt>ほんとう</rt></ruby>に？,<ruby>本当<rt>ほんとう</rt></ruby>に？,Really?,Really?,SocialPhrase
73,Daily Phrases,Không sao đâu,Không sao đâu.,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>ですよ,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>ですよ。,It's OK,It's alright.,SocialPhrase
74,Daily Phrases,Đừng lo,Đừng lo lắng.,<ruby>心配<rt>しんぱい</rt></ruby>しないで,<ruby>心配<rt>しんぱい</rt></ruby>しないで。,Don't worry,Don't worry about it.,SocialPhrase
75,Daily Phrases,Giỏi lắm,Giỏi lắm!,すごい,すごい！,Great job!,Great job!,SocialPhrase
76,Daily Phrases,Mời anh ăn,Mời anh ăn.,どうぞ<ruby>召<rt>め</rt></ruby>し<ruby>上<rt>あ</rt></ruby>がれ,どうぞ<ruby>召<rt>め</rt></ruby>し<ruby>上<rt>あ</rt></ruby>がれ。,Please eat (offering),Please eat / Help yourself.,VietPhrase
77,Daily Phrases,Ăn cơm chưa,Ăn cơm chưa?,ご<ruby>飯<rt>はん</rt></ruby><ruby>食<rt>た</rt></ruby>べた？,ご<ruby>飯<rt>はん</rt></ruby><ruby>食<rt>た</rt></ruby>べた？（<ruby>挨拶<rt>あいさつ</rt></ruby>）,Have you eaten? (greeting),Have you eaten? (VN greeting),VietPhrase
78,Daily Phrases,Đi đâu đấy,Đi đâu đấy?,どこ<ruby>行<rt>い</rt></ruby>くの？,どこ<ruby>行<rt>い</rt></ruby>くの？（<ruby>挨拶<rt>あいさつ</rt></ruby>）,Where are you going? (greeting),Where you going? (VN greeting),VietPhrase
79,Daily Phrases,Một hai ba dô,"Một, hai, ba, dô!",いち、に、さん、<ruby>乾杯<rt>かんぱい</rt></ruby>！,いち、に、さん、<ruby>乾杯<rt>かんぱい</rt></ruby>！,1-2-3 cheers! (VN toast),One-two-three cheers!,VietPhrase
80,Daily Phrases,Trời ơi,Trời ơi!,えー！/ <ruby>大変<rt>たいへん</rt></ruby>！,えー！,Oh my God!,Oh my God!,VietPhrase
81,Daily Phrases,Dễ thương quá,Dễ thương quá!,かわいい！,かわいい！,So cute!,So cute!,VietPhrase
82,Daily Phrases,Tuyệt vời,Tuyệt vời!,<ruby>素晴<rt>すば</rt></ruby>らしい！,<ruby>素晴<rt>すば</rt></ruby>らしい！,Wonderful!,Wonderful!,VietPhrase
83,Daily Phrases,Giỏi quá,Giỏi quá!,すごい！<ruby>上手<rt>じょうず</rt></ruby>！,すごい！<ruby>上手<rt>じょうず</rt></ruby>！,So talented!,So good!,VietPhrase
84,Daily Phrases,Thật không,Thật không?,<ruby>本当<rt>ほんとう</rt></ruby>？,<ruby>本当<rt>ほんとう</rt></ruby>？,Really?,Really? Seriously?,VietPhrase
85,Daily Phrases,Chịu rồi,Chịu rồi!,もうギブアップ,もうギブアップ！,I give up!,I give up! I can't!,VietPhrase
86,Daily Phrases,Coi chừng,Coi chừng!,<ruby>気<rt>き</rt></ruby>をつけて,<ruby>気<rt>き</rt></ruby>をつけて！,Watch out!,Be careful!,VietPhrase
87,Daily Phrases,Chúc sức khỏe,Chúc sức khỏe! (nâng cốc),<ruby>乾杯<rt>かんぱい</rt></ruby>！,<ruby>乾杯<rt>かんぱい</rt></ruby>！,Cheers! (toast),Cheers!,VietPhrase
88,Daily Phrases,Hết sẩy,Hết sẩy luôn!,<ruby>最高<rt>さいこう</rt></ruby>！,<ruby>最高<rt>さいこう</rt></ruby>！,Awesome! (slang),Awesome! The best!,VietPhrase
89,Daily Phrases,Quá trời,Quá trời đông!,めちゃくちゃ,めちゃくちゃ<ruby>混<rt>こ</rt></ruby>んでる！,Super / Very (slang),So crowded!,VietPhrase
90,Daily Phrases,Xỉn rồi,Xỉn rồi!,<ruby>酔<rt>よ</rt></ruby>っぱらった,<ruby>酔<rt>よ</rt></ruby>っぱらった！,Drunk!,I'm drunk!,VietPhrase
91,Daily Phrases,Nhậu đi,Đi nhậu không?,<ruby>飲<rt>の</rt></ruby>みに<ruby>行<rt>い</rt></ruby>こう,<ruby>飲<rt>の</rt></ruby>みに<ruby>行<rt>い</rt></ruby>かない？,Let's go drinking,Wanna go drinking?,VietPhrase
92,Daily Phrases,Ăn hết đi,Ăn hết đi!,<ruby>全部<rt>ぜんぶ</rt></ruby><ruby>食<rt>た</rt></ruby>べて,<ruby>全部<rt>ぜんぶ</rt></ruby><ruby>食<rt>た</rt></ruby>べてね！,Eat it all!,Finish your food!,VietPhrase
93,Daily Phrases,Ngon hết sẩy,Ngon hết sẩy!,めちゃくちゃ<ruby>美味<rt>おい</rt></ruby>しい,めちゃくちゃ<ruby>美味<rt>おい</rt></ruby>しい！,Super delicious!,Extremely delicious!,VietPhrase
94,Daily Phrases,Uống thêm đi,Uống thêm đi!,もう1<ruby>杯<rt>ぱい</rt></ruby>,もう1<ruby>杯<rt>ぱい</rt></ruby><ruby>飲<rt>の</rt></ruby>もう！,Have one more drink!,One more drink!,VietPhrase
95,Daily Phrases,Trăm phần trăm,Trăm phần trăm! (nâng cốc),100%！<ruby>乾杯<rt>かんぱい</rt></ruby>,100%<ruby>乾杯<rt>かんぱい</rt></ruby>！,100%! (bottoms up),Bottoms up!,VietPhrase
96,Daily Phrases,Đẹp trai quá,Đẹp trai quá!,イケメン！,イケメン！,So handsome!,So handsome!,VietPhrase
97,Daily Phrases,Xinh quá,Xinh quá!,<ruby>綺麗<rt>きれい</rt></ruby>！,<ruby>綺麗<rt>きれい</rt></ruby>！,So pretty!,So pretty!,VietPhrase
98,Daily Phrases,Cố lên,Cố lên!,<ruby>頑張<rt>がんば</rt></ruby>って！,<ruby>頑張<rt>がんば</rt></ruby>って！,Keep going!,Keep it up! Fighting!,VietPhrase
99,Daily Phrases,Không có chi,Không có chi.,どういたしまして,どういたしまして。,You're welcome (Southern),You're welcome.,VietPhrase
100,Daily Phrases,Biết rồi,"Biết rồi, biết rồi!",<ruby>分<rt>わ</rt></ruby>かった、<ruby>分<rt>わ</rt></ruby>かった,<ruby>分<rt>わ</rt></ruby>かった<ruby>分<rt>わ</rt></ruby>かった！,"I know, I know!","Yeah yeah, I know!",VietPhrase
101,Daily Phrases,Thôi đi,Thôi đi!,やめて,やめて！,Stop it!,"Come on, stop it!",VietPhrase
102,Daily Phrases,Đâu có,Đâu có!,そんなことない,そんなことないよ！,No way / Not at all,That's not true!,VietPhrase
103,Daily Phrases,Ơi,Anh ơi!,すみません！,すみません！（<ruby>呼<rt>よ</rt></ruby>びかけ）,Hey! (calling someone),Excuse me! Hey!,VietPhrase
104,Daily Phrases,Sao cũng được,Sao cũng được.,<ruby>何<rt>なん</rt></ruby>でもいい,<ruby>何<rt>なん</rt></ruby>でもいいよ。,Whatever / Anything's fine,"Whatever, anything's fine.",VietPhrase
105,Daily Phrases,Thích ghê,Thích ghê!,めっちゃ<ruby>好<rt>す</rt></ruby>き,めっちゃ<ruby>好<rt>す</rt></ruby>き！,Love it so much!,Love it so much!,VietPhrase
106,Core Basic,Xin chào,"Xin chào, rất vui được gặp anh.",こんにちは,こんにちは、お<ruby>会<rt>あ</rt></ruby>いできて<ruby>嬉<rt>うれ</rt></ruby>しいです。,Hello,"Hello, nice to meet you.",Greeting
107,Core Basic,Cảm ơn,Cảm ơn anh rất nhiều.,ありがとう,<ruby>本当<rt>ほんとう</rt></ruby>にありがとうございます。,Thank you,Thank you very much.,Greeting
108,Core Basic,Xin lỗi,"Xin lỗi, tôi đến muộn.",すみません,すみません、<ruby>遅<rt>おく</rt></ruby>れました。,Sorry,"Sorry, I'm late.",Greeting
109,Core Basic,Tạm biệt,"Tạm biệt, hẹn gặp lại.",さようなら,さようなら、また<ruby>会<rt>あ</rt></ruby>いましょう。,Goodbye,"Goodbye, see you again.",Greeting
110,Core Basic,Vâng,"Vâng, tôi hiểu rồi.",はい,はい、<ruby>分<rt>わ</rt></ruby>かりました。,Yes,"Yes, I understand.",Response
111,Core Basic,Không,"Không, không phải vậy.",いいえ,いいえ、そうではありません。,No,"No, that's not it.",Response
112,Core Basic,Có,Tôi có một cuộc họp.,ある,<ruby>会議<rt>かいぎ</rt></ruby>があります。,Have / Yes,I have a meeting.,Response
113,Core Basic,Được,Thế cũng được.,できる / いい,それでも<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>です。,OK / Can,That's fine too.,Response
114,Core Basic,Dạ,"Dạ, tôi nghe rõ.",はい（<ruby>丁寧<rt>ていねい</rt></ruby>）,はい、よく<ruby>聞<rt>き</rt></ruby>こえます。,Yes (polite),"Yes, I hear you clearly.",Response
115,Core Basic,Không sao,"Không sao, đừng lo.",<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>です、<ruby>心配<rt>しんぱい</rt></ruby>しないで。,No problem,"It's OK, don't worry.",Response
116,Core Basic,Xin,Xin anh đợi một chút.,お<ruby>願<rt>ねが</rt></ruby>いします,<ruby>少<rt>すこ</rt></ruby>しお<ruby>待<rt>ま</rt></ruby>ちください。,Please,Please wait a moment.,Request
117,Core Basic,Chào buổi sáng,"Chào buổi sáng, hôm nay đẹp trời!",おはようございます,おはようございます、いい<ruby>天気<rt>てんき</rt></ruby>ですね！,Good morning,"Good morning, nice weather!",Greeting
118,Core Basic,Chào buổi tối,"Chào buổi tối, anh ăn gì chưa?",こんばんは,こんばんは、もう<ruby>食<rt>た</rt></ruby>べましたか。,Good evening,"Good evening, have you eaten?",Greeting
119,Core Basic,Chúc ngủ ngon,"Chúc ngủ ngon, ngày mai gặp.",おやすみなさい,おやすみなさい、<ruby>明日<rt>あした</rt></ruby>に。,Good night,"Good night, see you tomorrow.",Greeting
120,Core Basic,Hẹn gặp lại,Hẹn gặp lại lần sau.,またお<ruby>会<rt>あ</rt></ruby>いしましょう,また<ruby>次回<rt>じかい</rt></ruby>お<ruby>会<rt>あ</rt></ruby>いしましょう。,See you again,See you next time.,Greeting
