No,Sheet,VN Word,VN(A),VN(B),JP Word,JP(A),JP(B),EN Word,EN(A),EN(B),Tag
18,Core Basic,Bình thường,Dạo này thế nào?,Bình thường thôi.,まあまあ,<ruby>最近<rt>さいきん</rt></ruby>どう？,まあまあかな。,So-so,How've you been?,So-so.,Greeting
19,Core Basic,Lâu rồi không gặp,Lâu rồi không gặp anh!,"Ừ, lâu lắm rồi nhỉ!",<ruby>久<rt>ひさ</rt></ruby>しぶり,お<ruby>久<rt>ひさ</rt></ruby>しぶりです！,ほんと、<ruby>久<rt>ひさ</rt></ruby>しぶりですね！,Long time no see,Long time no see!,"Yeah, it's been a while!",Greeting
20,Core Basic,Chúc mừng,Nghe nói anh thăng chức?,"Cảm ơn, chúc mừng anh luôn!",おめでとう,<ruby>昇進<rt>しょうしん</rt></ruby>したんですって？,ありがとう！,Congratulations,Heard you got promoted?,"Thanks, congrats to you too!",Greeting
21,Core Basic,Không có gì,Cảm ơn anh nhiều.,"Không có gì, đừng ngại.",どういたしまして,ありがとうございます。,どういたしまして。,You're welcome,Thank you so much.,You're welcome.,Response
22,Core Basic,Mời,Mời anh uống trà.,Cảm ơn anh.,どうぞ,お<ruby>茶<rt>ちゃ</rt></ruby>をどうぞ。,ありがとうございます。,Please (offer),Please have some tea.,Thank you.,Greeting
23,Core Basic,Cảm ơn nhiều,Anh giúp tôi nhiều quá.,Cảm ơn nhiều lắm.,どうもありがとう,とても<ruby>助<rt>たす</rt></ruby>かりました。,どうもありがとう。,Thanks a lot,You helped me a lot.,Thanks so much.,Greeting
24,Core Basic,Xin phép,Tôi xin phép về trước.,"Vâng, anh về cẩn thận.",<ruby>失礼<rt>しつれい</rt></ruby>します,お<ruby>先<rt>さき</rt></ruby>に<ruby>失礼<rt>しつれい</rt></ruby>します。,お<ruby>気<rt>き</rt></ruby>をつけて。,Excuse me (leaving),I'll take my leave.,Take care.,Greeting
25,Core Basic,Chào anh,"Chào anh, mời ngồi.","Cảm ơn, anh ngồi luôn nhé.",こんにちは,こんにちは、どうぞお<ruby>座<rt>すわ</rt></ruby>りください。,ありがとう、どうぞ。,Hello (to male),"Hello, please sit.","Thanks, please sit too.",Greeting
26,Core Basic,Tôi,Anh là ai?,"Tôi là DJ, từ Hàn Quốc.",<ruby>私<rt>わたし</rt></ruby>,どなたですか。,<ruby>私<rt>わたし</rt></ruby>はDJ、<ruby>韓国<rt>かんこく</rt></ruby>から<ruby>来<rt>き</rt></ruby>ました。,I,Who are you?,"I'm DJ, from Korea.",Pronoun
27,Core Basic,Anh,Anh tên là gì?,Tôi tên Minh.,あなた（<ruby>男性<rt>だんせい</rt></ruby>）,お<ruby>名前<rt>なまえ</rt></ruby>は？,ミンです。,You (male),What's your name?,I'm Minh.,Pronoun
28,Core Basic,Chị,Chị có rảnh không?,"Rảnh, có việc gì anh?",あなた（<ruby>女性<rt>じょせい</rt></ruby>）,お<ruby>時間<rt>じかん</rt></ruby>ありますか。,ありますよ、<ruby>何<rt>なに</rt></ruby>？,You (female),Are you free?,"Yes, what's up?",Pronoun
29,Core Basic,Em,Em bao nhiêu tuổi?,Em 25 tuổi.,あなた（<ruby>年下<rt>としした</rt></ruby>）,<ruby>何歳<rt>なんさい</rt></ruby>ですか。,25<ruby>歳<rt>さい</rt></ruby>です。,You (younger),How old are you?,I'm 25.,Pronoun
30,Core Basic,Bạn,Bạn từ đâu đến?,Tôi từ Seoul.,<ruby>友達<rt>ともだち</rt></ruby>,どこから<ruby>来<rt>き</rt></ruby>ましたか。,ソウルからです。,Friend / You,Where are you from?,From Seoul.,Pronoun
31,Core Basic,Chúng tôi,Các anh từ đâu?,Chúng tôi từ Hàn Quốc.,<ruby>私<rt>わたし</rt></ruby>たち,どちらから？,<ruby>韓国<rt>かんこく</rt></ruby>からです。,We,Where are you from?,We're from Korea.,Pronoun
32,Core Basic,Chúng ta,Bây giờ làm gì?,Chúng ta đi ăn nhé.,<ruby>私<rt>わたし</rt></ruby>たち（<ruby>全員<rt>ぜんいん</rt></ruby>）,<ruby>今<rt>いま</rt></ruby><ruby>何<rt>なに</rt></ruby>する？,ご<ruby>飯<rt>はん</rt></ruby><ruby>行<rt>い</rt></ruby>こう。,We (all),What do we do now?,Let's go eat.,Pronoun
33,Core Basic,Họ,Họ là ai?,Họ là đối tác từ Nhật.,<ruby>彼<rt>かれ</rt></ruby>ら,あの<ruby>方<rt>かた</rt></ruby>たちは？,<ruby>日本<rt>にほん</rt></ruby>からのパートナーです。,They,Who are they?,Partners from Japan.,Pronoun
34,Core Basic,Ông,Ông ấy là ai?,Ông ấy là chủ tịch công ty.,あの<ruby>方<rt>かた</rt></ruby>,あの<ruby>方<rt>かた</rt></ruby>は？,<ruby>会長<rt>かいちょう</rt></ruby>です。,He (elder),Who is he?,He's the chairman.,Pronoun
35,Core Basic,Bà,Bà ấy rất tốt bụng.,"Đúng, bà ấy luôn giúp đỡ mọi người.",あの<ruby>方<rt>かた</rt></ruby>（<ruby>女性<rt>じょせい</rt></ruby>）,あの<ruby>方<rt>かた</rt></ruby>は<ruby>親切<rt>しんせつ</rt></ruby>ですね。,ええ、いつも<ruby>助<rt>たす</rt></ruby>けてくれます。,She (elder),She's very kind.,"Yes, she always helps.",Pronoun
36,Core Basic,Mình,Mình đi đâu bây giờ?,Mình đi uống cà phê nhé.,<ruby>私<rt>わたし</rt></ruby>たち,<ruby>今<rt>いま</rt></ruby>どこ<ruby>行<rt>い</rt></ruby>く？,コーヒー<ruby>飲<rt>の</rt></ruby>みに<ruby>行<rt>い</rt></ruby>こう。,We (intimate),Where shall we go?,Let's get coffee.,Pronoun
37,Core Basic,Các anh,Các anh nghĩ sao?,Chúng tôi đồng ý.,<ruby>皆<rt>みな</rt></ruby>さん,<ruby>皆<rt>みな</rt></ruby>さんどう<ruby>思<rt>おも</rt></ruby>いますか。,<ruby>同意<rt>どうい</rt></ruby>します。,You (plural),What do you all think?,We agree.,Pronoun
38,Core Basic,Ai,Ai phụ trách dự án này?,Anh Minh phụ trách.,<ruby>誰<rt>だれ</rt></ruby>,<ruby>誰<rt>だれ</rt></ruby>が<ruby>担当<rt>たんとう</rt></ruby>ですか。,ミンさんです。,Who,Who's in charge?,Minh is.,Pronoun
39,Core Basic,Cô,Cô ấy là ai?,Cô ấy là trưởng phòng.,あの<ruby>方<rt>かた</rt></ruby>,あの<ruby>方<rt>かた</rt></ruby>は？,<ruby>部長<rt>ぶちょう</rt></ruby>です。,She / Miss,Who is she?,She's the manager.,Pronoun
40,Core Basic,Nó,Con nó mấy tuổi?,Nó 3 tuổi rồi.,あの<ruby>子<rt>こ</rt></ruby>,お<ruby>子<rt>こ</rt></ruby>さんは<ruby>何歳<rt>なんさい</rt></ruby>？,もう3<ruby>歳<rt>さい</rt></ruby>です。,He/She (casual),How old is the kid?,Already 3.,Pronoun
41,Core Basic,Gì,Anh cần gì?,Tôi cần một ly cà phê.,<ruby>何<rt>なに</rt></ruby>,<ruby>何<rt>なに</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>ですか。,コーヒーを1<ruby>杯<rt>ぱい</rt></ruby>。,What,What do you need?,A coffee please.,Question
42,Core Basic,Ở đâu,Khách sạn ở đâu?,Đi thẳng rồi rẽ phải.,どこ,ホテルはどこですか。,まっすぐ<ruby>行<rt>い</rt></ruby>って<ruby>右<rt>みぎ</rt></ruby>です。,Where,Where's the hotel?,"Go straight, turn right.",Question
43,Core Basic,Khi nào,Khi nào họp?,10 giờ sáng mai.,いつ,<ruby>会議<rt>かいぎ</rt></ruby>はいつ？,<ruby>明日<rt>あした</rt></ruby>の<ruby>午前<rt>ごぜん</rt></ruby>10<ruby>時<rt>じ</rt></ruby>。,When,When's the meeting?,10 AM tomorrow.,Question
44,Core Basic,Bao nhiêu,Cái này bao nhiêu?,Năm mươi nghìn đồng.,いくら,これはいくら？,5<ruby>万<rt>まん</rt></ruby>ドンです。,How much,How much is this?,50 thousand dong.,Question
45,Core Basic,Tại sao,Tại sao muộn vậy?,"Xin lỗi, kẹt xe.",なぜ,なぜ<ruby>遅<rt>おく</rt></ruby>れたの？,すみません、<ruby>渋滞<rt>じゅうたい</rt></ruby>で。,Why,Why are you late?,"Sorry, traffic jam.",Question
46,Core Basic,Như thế nào,Làm như thế nào?,Để tôi chỉ cho anh.,どうやって,どうやるの？,やり<ruby>方<rt>かた</rt></ruby>を<ruby>教<rt>おし</rt></ruby>えます。,How,How do you do it?,Let me show you.,Question
47,Core Basic,Bao lâu,Đi mất bao lâu?,Khoảng 30 phút.,どのくらい,どのくらいかかる？,<ruby>約<rt>やく</rt></ruby>30<ruby>分<rt>ぷん</rt></ruby>です。,How long,How long does it take?,About 30 minutes.,Question
48,Core Basic,Mấy,Mấy giờ rồi?,3 giờ chiều rồi.,<ruby>何<rt>なん</rt></ruby>,<ruby>今<rt>いま</rt></ruby><ruby>何時<rt>なんじ</rt></ruby>？,<ruby>午後<rt>ごご</rt></ruby>3<ruby>時<rt>じ</rt></ruby>です。,What (number),What time is it?,3 PM.,Question
49,Core Basic,Nào,Cái nào tốt hơn?,Cái này tốt hơn.,どれ,どっちがいい？,こっちの<ruby>方<rt>ほう</rt></ruby>がいい。,Which,Which is better?,This one's better.,Question
50,Core Basic,Đâu,Anh đi đâu?,Tôi đi ăn trưa.,どこ,どこに<ruby>行<rt>い</rt></ruby>くの？,お<ruby>昼<rt>ひる</rt></ruby>を<ruby>食<rt>た</rt></ruby>べに。,Where (casual),Where are you going?,Going to lunch.,Question
51,Core Basic,Sao,Sao anh biết?,Nghe đồng nghiệp nói.,どうして,どうして<ruby>知<rt>し</rt></ruby>ってるの？,<ruby>同僚<rt>どうりょう</rt></ruby>から<ruby>聞<rt>き</rt></ruby>いた。,How come,How do you know?,Heard from a colleague.,Question
52,Core Basic,Thế nào,Công việc thế nào?,"Cũng ổn, bận lắm.",どうですか,<ruby>仕事<rt>しごと</rt></ruby>はどう？,まあまあ、<ruby>忙<rt>いそが</rt></ruby>しいよ。,How about,How's work?,"OK, pretty busy.",Question
53,Core Basic,Có...không,Có wifi không?,"Có, mật khẩu đây.",ありますか,WiFiありますか。,はい、パスワードはこれです。,Is there...?,Is there wifi?,"Yes, here's the password.",Question
54,Core Basic,Đã...chưa,Ăn chưa?,"Chưa, đi ăn nhé.",もう〜した？,もう<ruby>食<rt>た</rt></ruby>べた？,まだ、<ruby>食<rt>た</rt></ruby>べに<ruby>行<rt>い</rt></ruby>こう。,Have you...yet?,Have you eaten?,"Not yet, let's go eat.",Question
55,Core Basic,Là,Anh làm nghề gì?,Tôi là giám đốc.,〜です,お<ruby>仕事<rt>しごと</rt></ruby>は？,ディレクターです。,To be,What do you do?,I'm a director.,Verb
56,Core Basic,Đi,Đi đâu bây giờ?,Đi ăn tối nhé.,<ruby>行<rt>い</rt></ruby>く,<ruby>今<rt>いま</rt></ruby>どこ<ruby>行<rt>い</rt></ruby>く？,<ruby>夕食<rt>ゆうしょく</rt></ruby>に<ruby>行<rt>い</rt></ruby>こう。,To go,Where to now?,Let's go to dinner.,Verb
57,Core Basic,Đến,Anh đến lúc mấy giờ?,Tôi đến lúc 9 giờ.,<ruby>来<rt>く</rt></ruby>る,<ruby>何時<rt>なんじ</rt></ruby>に<ruby>来<rt>き</rt></ruby>ますか。,9<ruby>時<rt>じ</rt></ruby>に<ruby>行<rt>い</rt></ruby>きます。,To come,What time will you come?,I'll be there at 9.,Verb
58,Core Basic,Ăn,Ăn gì chưa?,"Chưa, đói lắm.",<ruby>食<rt>た</rt></ruby>べる,もう<ruby>食<rt>た</rt></ruby>べた？,まだ、お<ruby>腹<rt>なか</rt></ruby><ruby>空<rt>す</rt></ruby>いた。,To eat,Have you eaten?,"Not yet, I'm starving.",Verb
59,Core Basic,Uống,Uống gì không?,Cho tôi cà phê sữa đá.,<ruby>飲<rt>の</rt></ruby>む,<ruby>何<rt>なに</rt></ruby>か<ruby>飲<rt>の</rt></ruby>む？,ベトナムアイスコーヒーを。,To drink,Want a drink?,Iced milk coffee please.,Verb
60,Core Basic,Làm,Hôm nay làm gì?,Làm báo cáo.,する,<ruby>今日<rt>きょう</rt></ruby><ruby>何<rt>なに</rt></ruby>する？,<ruby>報告書<rt>ほうこくしょ</rt></ruby>を<ruby>作<rt>つく</rt></ruby>る。,To do,What to do today?,Work on the report.,Verb
61,Core Basic,Nói,Nói chậm hơn được không?,"Được, tôi nói lại nhé.",<ruby>話<rt>はな</rt></ruby>す,もっとゆっくり<ruby>話<rt>はな</rt></ruby>して。,はい、もう<ruby>一度<rt>いちど</rt></ruby>。,To speak,Speak slower please?,"Sure, I'll repeat.",Verb
62,Core Basic,Biết,Anh biết quán nào ngon không?,"Biết, để tôi dẫn anh đi.",<ruby>知<rt>し</rt></ruby>る,<ruby>美味<rt>おい</rt></ruby>しい<ruby>店<rt>みせ</rt></ruby><ruby>知<rt>し</rt></ruby>ってる？,<ruby>知<rt>し</rt></ruby>ってるよ、<ruby>案内<rt>あんない</rt></ruby>する。,To know,Know any good places?,"Yeah, I'll take you.",Verb
63,Core Basic,Hiểu,Anh hiểu không?,"Hiểu rồi, cảm ơn.",<ruby>理解<rt>りかい</rt></ruby>する,<ruby>分<rt>わ</rt></ruby>かりましたか。,<ruby>分<rt>わ</rt></ruby>かりました、ありがとう。,To understand,Do you understand?,"Got it, thanks.",Verb
64,Core Basic,Muốn,Anh muốn ăn gì?,Tôi muốn ăn phở.,〜したい,<ruby>何<rt>なに</rt></ruby>が<ruby>食<rt>た</rt></ruby>べたい？,フォーが<ruby>食<rt>た</rt></ruby>べたい。,To want,What do you want to eat?,I want pho.,Verb
65,Core Basic,Cần,Anh cần gì không?,Tôi cần giúp đỡ.,<ruby>必要<rt>ひつよう</rt></ruby>,<ruby>何<rt>なに</rt></ruby>か<ruby>必要<rt>ひつよう</rt></ruby>？,<ruby>助<rt>たす</rt></ruby>けが<ruby>必要<rt>ひつよう</rt></ruby>です。,To need,Need anything?,I need help.,Verb
66,Core Basic,Thích,Anh thích ăn gì?,Tôi thích phở bò.,<ruby>好<rt>す</rt></ruby>き,<ruby>何<rt>なに</rt></ruby>が<ruby>好<rt>す</rt></ruby>き？,<ruby>牛肉<rt>ぎゅうにく</rt></ruby>フォーが<ruby>好<rt>す</rt></ruby>き。,To like,What food do you like?,I like beef pho.,Verb
67,Core Basic,Cho,Cho tôi xem cái này.,"Đây, anh xem đi.",くれる,これを<ruby>見<rt>み</rt></ruby>せて。,はい、どうぞ。,To give / let,Let me see this.,"Here, take a look.",Verb
68,Core Basic,Xem,Xem menu nhé?,"Ừ, xem đi.",<ruby>見<rt>み</rt></ruby>る,メニュー<ruby>見<rt>み</rt></ruby>る？,うん、<ruby>見<rt>み</rt></ruby>よう。,To look,Check the menu?,"Yeah, let's see.",Verb
69,Core Basic,Nghe,Anh nghe tin chưa?,"Nghe rồi, bất ngờ quá.",<ruby>聞<rt>き</rt></ruby>く,ニュース<ruby>聞<rt>き</rt></ruby>いた？,<ruby>聞<rt>き</rt></ruby>いたよ、<ruby>驚<rt>おどろ</rt></ruby>いた。,To hear,Heard the news?,"Yeah, surprising.",Verb
70,Core Basic,Nghĩ,Anh nghĩ sao?,Tôi nghĩ được.,<ruby>思<rt>おも</rt></ruby>う,どう<ruby>思<rt>おも</rt></ruby>う？,いいと<ruby>思<rt>おも</rt></ruby>う。,To think,What do you think?,I think it's fine.,Verb
71,Core Basic,Gọi,Gọi taxi nhé?,"Ừ, gọi đi.",<ruby>呼<rt>よ</rt></ruby>ぶ,タクシー<ruby>呼<rt>よ</rt></ruby>ぶ？,うん、<ruby>呼<rt>よ</rt></ruby>んで。,To call,Call a taxi?,"Yeah, go ahead.",Verb
72,Core Basic,Đợi,Đợi tôi một chút.,"Được, tôi đợi.",<ruby>待<rt>ま</rt></ruby>つ,ちょっと<ruby>待<rt>ま</rt></ruby>って。,いいよ、<ruby>待<rt>ま</rt></ruby>つ。,To wait,Wait for me a sec.,"OK, I'll wait.",Verb
73,Core Basic,Mua,Mua cái này không?,"Mua đi, rẻ lắm.",<ruby>買<rt>か</rt></ruby>う,これ<ruby>買<rt>か</rt></ruby>う？,<ruby>買<rt>か</rt></ruby>いなよ、<ruby>安<rt>やす</rt></ruby>いよ。,To buy,Buy this?,"Go for it, it's cheap.",Verb
74,Core Basic,Bán,Cái này bán không?,"Bán, 100 nghìn.",<ruby>売<rt>う</rt></ruby>る,これ<ruby>売<rt>う</rt></ruby>ってますか。,はい、10<ruby>万<rt>まん</rt></ruby>ドンです。,To sell,Is this for sale?,"Yes, 100K dong.",Verb
75,Core Basic,Trả,Ai trả tiền?,"Tôi trả, tôi mời.",<ruby>払<rt>はら</rt></ruby>う,<ruby>誰<rt>だれ</rt></ruby>が<ruby>払<rt>はら</rt></ruby>う？,<ruby>私<rt>わたし</rt></ruby>がおごるよ。,To pay,Who's paying?,My treat.,Verb
76,Core Basic,Mở,Mở cửa giúp tôi.,"Được, đợi chút.",<ruby>開<rt>あ</rt></ruby>ける,ドアを<ruby>開<rt>あ</rt></ruby>けて。,はい、ちょっと<ruby>待<rt>ま</rt></ruby>って。,To open,Open the door please.,"Sure, one sec.",Verb
77,Core Basic,Đóng,Đóng cửa lại nhé.,OK rồi.,<ruby>閉<rt>し</rt></ruby>める,ドア<ruby>閉<rt>し</rt></ruby>めてね。,OK。,To close,Close the door.,Done.,Verb
78,Core Basic,Viết,Viết tên ở đây nhé.,Viết ở đâu?,<ruby>書<rt>か</rt></ruby>く,ここに<ruby>名前<rt>なまえ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いて。,どこに？,To write,Write your name here.,Where exactly?,Verb
79,Core Basic,Đọc,Đọc qua hợp đồng nhé.,"Được, để tôi đọc.",<ruby>読<rt>よ</rt></ruby>む,<ruby>契約書<rt>けいやくしょ</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んで。,はい、<ruby>読<rt>よ</rt></ruby>みます。,To read,Read the contract.,"OK, let me read it.",Verb
80,Core Basic,Hỏi,Tôi muốn hỏi một chút.,Anh cứ hỏi.,<ruby>質問<rt>しつもん</rt></ruby>する,ちょっと<ruby>聞<rt>き</rt></ruby>きたいのですが。,どうぞ。,To ask,I want to ask something.,Go ahead.,Verb
81,Core Basic,Trả lời,Trả lời trước thứ sáu nhé.,"Được, tôi sẽ trả lời sớm.",<ruby>返事<rt>へんじ</rt></ruby>する,<ruby>金曜<rt>きんよう</rt></ruby>までに<ruby>返事<rt>へんじ</rt></ruby>を。,はい、<ruby>早<rt>はや</rt></ruby>めに<ruby>返事<rt>へんじ</rt></ruby>します。,To reply,Reply by Friday.,"OK, I'll reply soon.",Verb
82,Core Basic,Bắt đầu,Bắt đầu họp nhé?,"Vâng, bắt đầu đi.",<ruby>始<rt>はじ</rt></ruby>める,<ruby>会議<rt>かいぎ</rt></ruby><ruby>始<rt>はじ</rt></ruby>めましょうか。,はい、<ruby>始<rt>はじ</rt></ruby>めましょう。,To start,Shall we start?,"Yes, let's begin.",Verb
83,Core Basic,Kết thúc,Mấy giờ kết thúc?,5 giờ chiều.,<ruby>終<rt>お</rt></ruby>わる,<ruby>何時<rt>なんじ</rt></ruby>に<ruby>終<rt>お</rt></ruby>わる？,<ruby>午後<rt>ごご</rt></ruby>5<ruby>時<rt>じ</rt></ruby>。,To end,When does it end?,5 PM.,Verb
84,Core Basic,Giúp,Giúp tôi một chút được không?,"Được, cần gì?",<ruby>手伝<rt>てつだ</rt></ruby>う,ちょっと<ruby>手伝<rt>てつだ</rt></ruby>って。,いいよ、<ruby>何<rt>なに</rt></ruby>？,To help,Can you help me?,"Sure, what is it?",Verb
85,Core Basic,Học,Anh đang học gì?,Đang học tiếng Việt.,<ruby>勉強<rt>べんきょう</rt></ruby>する,<ruby>何<rt>なに</rt></ruby>を<ruby>勉強<rt>べんきょう</rt></ruby>してる？,ベトナム<ruby>語<rt>ご</rt></ruby>。,To study,What are you studying?,Vietnamese.,Verb
86,Core Basic,Sống,Anh sống ở đâu?,Tôi sống ở Seoul.,<ruby>住<rt>す</rt></ruby>む,どこに<ruby>住<rt>す</rt></ruby>んでる？,ソウルに<ruby>住<rt>す</rt></ruby>んでいます。,To live,Where do you live?,I live in Seoul.,Verb
87,Core Basic,Làm việc,Anh làm việc ở đâu?,Ở công ty NORMA.,<ruby>働<rt>はたら</rt></ruby>く,どこで<ruby>働<rt>はたら</rt></ruby>いてる？,NORMAという<ruby>会社<rt>かいしゃ</rt></ruby>です。,To work,Where do you work?,At NORMA.,Verb
88,Core Basic,Gửi,Gửi email cho tôi nhé.,"Được, gửi ngay.",<ruby>送<rt>おく</rt></ruby>る,メール<ruby>送<rt>おく</rt></ruby>ってね。,はい、すぐ<ruby>送<rt>おく</rt></ruby>ります。,To send,Send me an email.,"OK, sending now.",Verb
89,Core Basic,Nhận,Nhận được email chưa?,"Nhận rồi, cảm ơn.",<ruby>受<rt>う</rt></ruby>け<ruby>取<rt>と</rt></ruby>る,メール<ruby>届<rt>とど</rt></ruby>いた？,<ruby>届<rt>とど</rt></ruby>いたよ、ありがとう。,To receive,Got the email?,"Got it, thanks.",Verb
90,Core Basic,Tìm,Anh tìm gì?,Tìm nhà hàng gần đây.,<ruby>探<rt>さが</rt></ruby>す,<ruby>何<rt>なに</rt></ruby>を<ruby>探<rt>さが</rt></ruby>してる？,<ruby>近<rt>ちか</rt></ruby>くのレストラン。,To find,What are you looking for?,A nearby restaurant.,Verb
91,Core Basic,Đổi,Đổi tiền ở đâu?,Ở ngân hàng kia.,<ruby>両替<rt>りょうがえ</rt></ruby>する,どこで<ruby>両替<rt>りょうがえ</rt></ruby>できる？,あの<ruby>銀行<rt>ぎんこう</rt></ruby>で。,To exchange,Where to exchange money?,At that bank.,Verb
92,Core Basic,Nhớ,Anh nhớ cuộc họp sáng mai không?,"Nhớ rồi, 9 giờ phải không?",<ruby>覚<rt>おぼ</rt></ruby>えている,<ruby>明日<rt>あした</rt></ruby>の<ruby>朝<rt>あさ</rt></ruby>の<ruby>会議<rt>かいぎ</rt></ruby><ruby>覚<rt>おぼ</rt></ruby>えてる？,<ruby>覚<rt>おぼ</rt></ruby>えてるよ、9<ruby>時<rt>じ</rt></ruby>でしょ？,To remember,Remember tmr's meeting?,"Yeah, 9 AM right?",Verb
